38.9846 9.13941 32.2995 
37.2923 9.72685 31.4102 
36.5234 11.9554 29.8473 
37.447 13.5965 29.1736 
40.063 14.6502 29.3893 
41.7554 14.0628 30.2787 
42.5242 11.8343 31.8417 
41.6007 10.1932 32.5152 
38.9846 9.13941 32.2995 
39.5166 8.15862 30.6395 
37.8242 8.74602 29.7502 
37.2923 9.72685 31.4102 
37.8242 8.74602 29.7502 
37.0554 10.9746 28.1873 
36.5234 11.9554 29.8473 
37.0554 10.9746 28.1873 
37.9789 12.6157 27.5137 
37.447 13.5965 29.1736 
37.9789 12.6157 27.5137 
40.5949 13.6694 27.7293 
40.063 14.6502 29.3893 
40.5949 13.6694 27.7293 
42.2873 13.0822 28.6186 
41.7554 14.0628 30.2787 
42.2873 13.0822 28.6186 
43.0561 10.8536 30.1815 
42.5242 11.8343 31.8417 
43.0561 10.8536 30.1815 
42.1326 9.21241 30.8551 
41.6007 10.1932 32.5152 
42.1326 9.21241 30.8551 
39.5166 8.15862 30.6395 
38.9846 9.13941 32.2995 
